"id","flex","level","female","haskids","salary","tenure","produc"
109,0,"Entry",0,0,52498.1549815375,2,5.24
110,0,"Entry",0,1,49630.7172193304,1,4.49
111,0,"Manager",0,0,135031.036930392,11,7.66
112,0,"Entry",1,1,52882.3442424629,4,4.07
113,1,"Entry",0,0,51394.3214824483,3,5.63
114,1,"Manager",0,1,128607.115954626,10,6.79
115,1,"Manager",0,1,127912.513447557,10,6.18
116,0,"Entry",1,0,49538.0908508973,3,3.23
117,1,"Manager",0,1,136773.144342478,11,5.67
118,0,"Manager",0,1,127670.991106845,11,5.21
119,1,"Entry",0,1,48919.30647491,1,5.29
120,1,"Manager",0,0,119049.441199203,7,8.52
121,0,"Manager",1,1,87455.5869113759,2,2.74
122,1,"Entry",0,0,42242.1733218642,1,6.93
123,1,"Manager",1,1,110190.978053348,7,4.53
124,1,"Entry",0,0,51159.5863834739,2,6.14
125,0,"Entry",1,0,47893.2236929966,1,5.92
126,0,"Entry",0,0,52799.6884865141,3,5.24
127,0,"Entry",1,0,46622.0412479123,1,5.92
128,1,"Entry",1,1,43372.5199483173,0,4.18
129,1,"Manager",1,1,113424.975508045,6,7.44
130,1,"Manager",0,1,110548.293514215,5,5.73
131,0,"Entry",0,1,51189.7689797799,2,3.1
132,1,"Manager",0,0,102408.304861571,4,7.62
133,1,"Entry",0,1,44753.8123079857,0,3.93
134,1,"Manager",0,0,137674.707320694,10,5.43
135,0,"Manager",0,0,130402.910228754,9,5.58
136,0,"Entry",1,0,48983.2473074256,1,6.59
137,1,"Manager",1,1,104553.622206691,6,6.4
138,1,"Entry",1,0,52994.6723470314,3,8.42
139,1,"Manager",1,1,100043.718074374,4,3.68
140,0,"Manager",1,0,98703.3782800194,5,5.04
141,1,"Entry",0,1,47298.7562947434,1,3.5
142,1,"Manager",0,1,147971.229336598,12,3.41
143,1,"Manager",0,1,111127.743013728,5,7.06
144,1,"Entry",0,1,56253.2624072106,3,5.4
145,1,"Entry",0,1,43402.6121329584,1,4.03
146,0,"Entry",0,0,46165.5363388421,1,5.24
147,0,"Manager",1,0,103238.674628238,6,4.33
148,1,"Manager",0,1,130836.704018999,10,5.9
149,1,"Entry",1,1,45199.3390570143,1,4.44
150,0,"Entry",1,0,48287.7542617108,1,4.57
151,1,"Manager",0,1,137355.170071765,11,5.75
152,0,"Manager",0,1,140267.786360169,10,2.6
153,1,"Entry",0,0,47522.8722675673,2,5.55
154,1,"Entry",1,0,52966.33074766,2,6.59
155,1,"Manager",0,0,118744.313930644,7,7.24
156,1,"Manager",0,1,140577.059541987,11,7.16
157,1,"Manager",0,1,114154.103586718,7,7.73
158,1,"Manager",1,1,105612.526592524,6,4.1
159,1,"Entry",0,0,56533.4781205645,4,5.11
160,1,"Manager",1,1,92914.4722209032,1,6.85
161,1,"Manager",0,1,143937.2069249,12,5.84
162,1,"Entry",1,1,47999.6965801404,2,5.42
163,1,"Manager",0,1,118278.748718081,8,4.99
164,0,"Manager",0,0,123453.500802239,9,5.68
165,1,"Manager",1,0,107454.515815082,7,5.8
166,0,"Manager",0,0,130214.114187693,9,3.81
167,1,"Manager",0,0,121368.056431741,7,8.6
168,0,"Entry",1,0,53055.4852002558,2,5.92
169,1,"Entry",1,1,51627.9972073283,3,5.37
170,1,"Manager",0,0,115146.73855012,5,8.36
171,0,"Entry",0,0,46150.6632908783,0,5.24
172,1,"Manager",0,1,151941.449675843,16,7.75
173,0,"Manager",1,0,114569.144600091,8,5.66
174,1,"Manager",1,1,107118.353982807,7,5.07
175,1,"Manager",1,1,118420.933644679,8,4.39
176,0,"Entry",0,0,51394.9257484017,2,6.59
177,0,"Manager",0,0,119011.607267254,7,5.01
178,1,"Entry",0,0,51752.1417419892,3,7.28
179,1,"Manager",1,1,104021.722823028,3,5.59
180,1,"Entry",1,0,44274.0836182627,0,7.53
181,1,"Manager",0,1,131958.049975392,9,5.4
182,0,"Manager",0,0,113129.696286118,6,4.99
183,1,"Manager",0,0,134013.57876288,12,8.39
184,1,"Entry",1,1,54916.0358341293,3,6.87
185,1,"Manager",1,1,102116.193488675,5,6.86
186,0,"Entry",0,0,51826.7670794855,3,4.57
187,1,"Entry",1,1,54935.9806733231,2,4.17
188,1,"Manager",1,0,101055.4692314,2,6.47
189,0,"Entry",0,1,52212.752488842,2,3.7
190,1,"Entry",1,1,52877.0978311552,2,5.36
191,0,"Entry",0,0,46394.8383817309,2,3.9
192,1,"Entry",0,0,48939.7241787506,1,4.7
193,0,"Manager",0,0,135375.13162401,9,5.77
194,1,"Entry",1,1,53413.8693490625,3,6.83
195,0,"Manager",0,1,107748.240307615,7,5.88
196,1,"Manager",0,0,133764.080222712,13,7.53
197,0,"Manager",0,1,119222.863227512,9,3.89
198,1,"Manager",1,0,128975.079307076,9,7.69
199,0,"Entry",1,0,44431.6581338669,2,5.92
200,1,"Entry",0,1,52468.0420721822,2,5.61
201,0,"Manager",1,1,96011.8232363017,5,2.94
202,1,"Manager",0,1,132167.924492175,10,4.78
203,1,"Entry",0,1,52391.0835435427,2,5.18
204,0,"Entry",1,0,43033.7384039567,1,3.9
205,1,"Manager",0,1,121941.48936333,9,3.33
206,1,"Entry",1,1,51798.952046489,2,5.09
207,1,"Manager",0,1,134838.669991331,11,4.52
208,1,"Manager",1,0,98080.0852888407,4,6.2
209,1,"Entry",1,0,47437.2838689905,1,5.58
210,1,"Manager",0,1,130246.971239334,11,5.39
211,1,"Entry",1,0,46935.3502358153,2,7.21
212,1,"Manager",0,0,118447.558214113,8,5.56
213,1,"Entry",0,1,42571.1972287032,0,2.3
214,0,"Manager",1,0,108560.78972762,4,7.78
215,1,"Manager",0,1,137858.541075303,11,4.98
216,1,"Entry",0,0,52084.9392472709,2,7.12
217,1,"Entry",0,1,52640.6698723406,3,5.93
218,1,"Entry",1,1,51752.4647434468,3,5.54
219,0,"Entry",0,0,44978.2852787246,1,5.92
220,1,"Manager",1,1,119989.427817995,7,6.7
221,1,"Entry",1,1,55720.5081500553,3,4.68
222,1,"Manager",0,1,124861.191112999,7,7.78
223,0,"Manager",0,0,125277.901548822,10,5.55
224,1,"Manager",0,0,148479.938010292,12,6.3
225,1,"Manager",1,1,99332.6526898008,5,5.18
226,1,"Manager",0,0,115931.579347525,9,7.61
227,1,"Manager",0,1,124685.05296823,11,4.28
228,1,"Manager",1,1,111841.712203069,7,5.59
229,1,"Entry",1,0,55186.4971018518,3,8.21
230,1,"Entry",1,1,50077.0283053528,1,4.06
231,1,"Manager",0,1,105965.815389863,4,3.74
232,1,"Manager",1,1,93574.4155479034,3,7.31
233,0,"Manager",0,1,137808.384565033,13,4.76
234,0,"Entry",1,0,48459.4830956806,1,5.24
235,0,"Entry",0,0,45113.2865014528,1,7.26
236,1,"Entry",0,0,44777.1758693342,1,6.52
237,0,"Manager",0,0,121248.646302645,8,7.14
238,1,"Manager",0,1,137586.802162885,11,4.94
239,1,"Manager",0,0,129976.186077262,11,8.34
240,0,"Entry",0,0,51669.4094495506,2,4.57
241,0,"Entry",1,0,47278.7125635983,2,5.24
242,1,"Manager",0,1,122625.35157083,7,8.33
243,0,"Entry",1,0,48424.6715757377,1,5.92
244,0,"Entry",1,1,46046.6538960621,1,1.6
245,1,"Manager",1,1,93989.9020075006,4,5.16
246,1,"Entry",0,1,55757.6640489793,3,4.42
247,0,"Manager",1,0,104873.620726879,4,5.65
248,1,"Manager",0,1,126888.356731796,8,7.1
249,0,"Entry",0,0,51758.3447594211,2,5.24
250,1,"Entry",0,1,47470.2645803488,1,7.72
251,1,"Manager",0,0,98432.939173238,3,6.52
252,1,"Entry",0,1,48252.481312703,1,5.52
253,1,"Manager",1,1,106590.224678914,6,6.15
254,1,"Manager",0,1,127315.625499962,8,6.15
255,1,"Entry",0,1,56318.677970218,4,7.46
256,1,"Entry",1,1,47964.5696272946,1,5.02
257,1,"Manager",0,1,114973.142443986,8,3.82
258,0,"Manager",0,1,127442.958818418,8,4.39
259,0,"Entry",1,0,49070.9799355838,1,3.9
260,0,"Entry",0,1,51179.4426324183,2,3.12
261,1,"Entry",1,0,55945.872618448,2,6.87
262,0,"Manager",0,1,113836.797480218,6,1.73
263,0,"Manager",0,0,128059.421534483,9,6.61
264,1,"Manager",0,1,107831.884642002,7,4.79
265,1,"Manager",0,1,109399.108197467,5,4.78
266,1,"Manager",0,1,134346.313444442,11,7.41
267,1,"Manager",0,1,142330.852021806,11,6.45
268,0,"Manager",1,0,107792.704128599,4,5.88
269,1,"Entry",1,0,51017.249362078,2,7.76
270,1,"Entry",1,1,54512.9440827728,3,5.55
271,0,"Entry",0,0,54818.7569118226,2,4.57
272,1,"Manager",0,0,117623.170011654,9,7.85
273,1,"Entry",0,1,46031.5291837696,1,6.41
274,0,"Manager",0,0,118996.631187209,8,3.82
275,1,"Entry",0,1,49974.1939901048,3,7.6
276,0,"Manager",1,0,88355.1430443411,3,4.41
277,1,"Entry",0,0,43466.7868741863,0,7.82
278,1,"Manager",1,1,108471.148323352,4,6.41
279,0,"Entry",1,0,47858.8333549917,1,4.57
280,1,"Manager",1,0,86924.1000017107,2,7.68
281,1,"Manager",1,1,92041.0575616122,1,6.31
282,1,"Entry",0,0,43732.9269099097,1,7.4
283,1,"Manager",0,1,107294.40121511,7,5.25
284,1,"Manager",1,0,124859.721772285,8,8.55
285,1,"Manager",1,1,107484.942669242,7,4.61
286,1,"Manager",0,0,130935.378610916,10,5.68
287,1,"Manager",0,1,145486.994684399,15,7.51
288,1,"Manager",0,1,116060.386040529,6,5.31
289,0,"Entry",0,1,47110.9262445947,1,3.07
290,0,"Manager",0,1,106273.688963841,4,5.56
291,0,"Manager",1,0,114409.765961325,5,4.79
292,0,"Manager",0,0,121175.798262031,7,6.3
293,1,"Manager",0,0,123158.034605795,9,8.19
294,1,"Entry",0,1,53368.1951763268,2,6.66
295,0,"Entry",0,0,48241.116304956,2,5.24
296,0,"Entry",0,1,48484.8712224075,2,3.45
297,1,"Entry",0,1,51626.2903991505,1,5.3
298,1,"Manager",1,1,96824.9354721432,3,6.96
299,0,"Manager",0,1,124594.639325735,7,4.51
300,1,"Manager",0,0,112309.156539999,6,8.28
301,1,"Entry",1,1,49151.6353247309,1,4.13
302,1,"Manager",0,1,142582.253943252,14,3.16
303,1,"Manager",0,1,125625.488316372,8,6.18
304,1,"Entry",1,1,51927.4022659838,3,4.77
305,1,"Entry",1,1,54974.6586292905,2,3.11
306,1,"Manager",0,0,135492.100883171,10,8.5
307,1,"Manager",0,0,130804.291124855,10,6.02
308,1,"Manager",0,1,125853.674099265,8,4.53
309,0,"Manager",0,0,145114.517641202,15,4.07
310,1,"Manager",0,1,117815.35588456,7,4.43
311,1,"Entry",1,1,47505.8704031844,2,5.48
312,0,"Entry",0,0,44870.8366115095,1,5.24
313,0,"Entry",0,0,50205.7089653666,2,5.24
314,1,"Entry",0,0,56318.7266526272,3,7.48
315,1,"Entry",0,1,52299.3747968738,2,5.01
316,0,"Manager",0,0,128415.169468706,10,5.72
317,1,"Manager",0,1,138040.320315884,10,3.96
318,1,"Manager",0,1,128329.184076125,9,3.19
319,0,"Entry",1,0,44167.6192028516,2,6.59
320,1,"Manager",1,0,108686.347320691,6,6.81
321,1,"Manager",1,0,117614.825998467,6,7.82
322,1,"Entry",1,1,43835.2194773711,1,6.07
323,0,"Entry",0,1,46105.5876905546,2,3.33
324,1,"Entry",1,1,51854.8576868824,2,4.22
325,0,"Manager",1,0,131910.063511237,11,6.34
326,1,"Entry",0,1,45611.8940534834,1,4.16
327,0,"Entry",0,1,51373.9623225586,2,2.11
328,0,"Entry",1,0,43630.1854060645,1,5.24
329,1,"Entry",0,0,51164.8526609585,3,7.79
330,0,"Manager",0,0,127359.904972056,11,2.72
331,1,"Entry",1,1,48677.5008012221,1,4.46
332,1,"Manager",0,0,115324.328646325,7,6.44
333,1,"Entry",0,1,55259.0823739248,3,4.97
334,0,"Manager",0,0,128628.962143041,10,4.58
335,0,"Manager",0,1,122137.950913065,7,3.07
336,1,"Manager",1,0,110359.032148827,5,7.55
337,1,"Manager",0,0,120640.769926173,7,5.19
338,0,"Entry",1,1,56657.6240421992,3,2.58
339,0,"Manager",0,0,129562.271782956,10,6.21
340,1,"Entry",0,1,47607.2136854506,2,6.27
341,0,"Entry",1,0,49587.0041503563,2,4.57
342,1,"Entry",0,1,49699.1038084713,2,5.3
343,1,"Entry",1,0,47018.1524112694,2,7.18
344,1,"Entry",0,0,45249.0508179873,1,6.25
345,1,"Entry",1,1,49183.6787842611,1,6.28
346,0,"Entry",1,0,51556.6083566233,1,5.92
347,1,"Entry",0,0,42321.4954714255,1,4.99
348,1,"Entry",0,0,52004.4278142376,2,7.76
349,1,"Entry",0,1,47746.0477888818,2,4.08
350,1,"Manager",1,1,111296.841533947,7,5.07
351,1,"Entry",1,0,51421.3019550041,2,6.08
352,0,"Entry",1,0,49878.0503690479,2,5.24
353,1,"Entry",0,1,54098.023551956,3,3.34
354,1,"Entry",1,0,52552.3673826237,2,7.51
355,1,"Manager",0,1,119446.281933961,9,4.94
356,0,"Manager",0,1,134525.156504283,10,4.62
357,1,"Entry",0,0,44619.0100195569,1,6.56
358,1,"Manager",0,1,121548.658746913,10,6.02
359,0,"Manager",1,0,111519.619591461,4,6.82
360,1,"Manager",0,1,139059.018257489,10,4.01
361,1,"Manager",0,1,117569.4861956,6,4.39
362,1,"Entry",1,1,47991.4622404242,2,4.99
363,0,"Entry",0,1,53821.9207869824,3,4.05
364,1,"Manager",0,1,125113.519210208,8,6.73
365,1,"Entry",0,1,49413.6815490729,3,4.27
366,1,"Entry",0,0,47460.980826777,1,6.72
367,1,"Entry",0,0,44564.801515192,1,5.36
368,0,"Entry",1,0,52122.3469205955,3,5.24
369,0,"Manager",1,0,102711.686450102,3,6.61
370,1,"Entry",0,1,53633.5197137215,3,5.54
371,1,"Entry",1,1,48941.1990823505,3,5.78
372,0,"Entry",1,0,47007.2655517149,2,4.57
373,1,"Entry",1,0,56497.1239922371,2,6.65
374,0,"Manager",0,1,114840.852948039,7,4.36
375,1,"Entry",0,0,49134.2371569566,2,6.99
376,1,"Entry",1,1,49673.60188801,2,6.65
377,1,"Manager",0,0,129565.918298174,9,6.73
378,0,"Entry",0,1,51157.3480431872,3,4.47
379,1,"Manager",0,0,141342.362655305,13,7.33
380,0,"Manager",1,1,131953.316056873,9,2.33
381,0,"Entry",0,0,42485.4931855144,0,4.57
382,1,"Entry",1,0,42993.5703379519,0,7.69
383,0,"Entry",1,1,46816.233883487,1,3.34
384,0,"Manager",0,0,112592.134728141,5,5.91
385,0,"Entry",0,0,43317.8430986411,1,7.26
386,1,"Entry",1,1,48754.6083832649,2,7.47
387,1,"Manager",0,1,125559.249290854,9,6.38
388,1,"Manager",0,1,125192.5033623,11,3.55
389,1,"Manager",0,1,105719.2365812,7,3.6
390,1,"Entry",1,1,46053.487715677,1,4.84
391,1,"Entry",0,1,56038.8130178964,4,5.46
392,1,"Manager",1,1,91237.5366451629,3,2.75
393,1,"Manager",1,1,97931.4210193844,2,4.15
394,1,"Entry",0,1,50066.2261443348,3,5.17
395,1,"Manager",0,1,114797.413150525,9,6.83
396,1,"Entry",0,1,49649.4909931935,2,4.51
397,1,"Entry",1,1,47576.0971516682,2,4.17
398,1,"Entry",0,1,53270.1050153502,2,5.07
399,0,"Manager",0,0,128565.017969998,9,5.57
400,1,"Entry",0,0,51007.8628008074,2,7.1
401,0,"Entry",1,0,49652.0228933876,3,4.57
402,1,"Entry",1,1,43722.9421412739,0,4.83
403,0,"Entry",0,0,40683.9212818221,1,3.9
404,0,"Manager",0,0,107212.681533097,5,3.79
405,1,"Manager",1,1,100070.297222103,4,4.21
406,0,"Entry",0,0,47781.1774379525,1,6.59
407,1,"Manager",0,1,110498.669722888,5,6.02
408,1,"Manager",0,0,109271.194848459,8,7.47
409,0,"Entry",0,1,52526.7705757635,2,2.73
410,1,"Manager",0,1,129811.171890676,8,6.03
411,0,"Entry",1,1,44329.6006621215,0,4.09
412,1,"Manager",0,1,95436.5061457727,3,3.86
413,1,"Entry",0,0,50938.5429127329,3,7.08
414,1,"Manager",0,1,124449.772786687,9,3.8
415,1,"Manager",0,1,121105.954168664,8,4.18
416,1,"Entry",0,1,54697.5464105133,3,5.07
417,1,"Entry",1,0,44166.2583046552,0,6.73
418,0,"Entry",1,1,48824.5477051952,1,4.2
419,1,"Manager",0,1,115306.778587898,9,7.62
420,1,"Entry",0,1,54851.824249507,4,4.85
421,1,"Manager",0,1,113178.737677452,8,8.39
422,0,"Entry",0,0,48686.010082669,1,6.59
423,0,"Entry",1,0,47994.6404904609,2,2.56
424,1,"Manager",0,1,124422.071713957,10,5.09
425,1,"Manager",0,1,122037.309247691,9,7.12
426,1,"Entry",0,1,43084.5680278186,0,5.74
427,1,"Manager",1,0,98890.8903219431,4,7.06
428,1,"Manager",1,1,98276.1565885878,4,5.88
429,1,"Manager",0,1,110562.900533207,7,3.88
430,0,"Entry",1,0,51784.8931546123,2,6.59
431,0,"Entry",0,1,46154.3608855704,1,3.17
432,1,"Entry",1,0,47416.0776545108,2,5.85
433,1,"Manager",0,1,122336.687513372,10,5.96
434,0,"Manager",0,1,122473.70217128,9,2.29
435,1,"Entry",0,1,44738.336921764,1,4.23
436,1,"Entry",1,1,49054.7489255767,2,5.89
437,1,"Entry",1,0,40529.5900699756,-1,6.19
438,1,"Manager",1,1,115690.226945525,6,6.29
439,1,"Entry",0,1,50809.5150997489,3,5.97
440,1,"Entry",0,1,51728.1937213031,2,5.8
441,1,"Entry",1,0,53482.2026123586,2,6.82
442,0,"Entry",1,0,48846.0561949961,2,4.57
443,1,"Manager",0,1,106119.044180501,4,3.76
444,1,"Manager",0,0,119681.709778292,10,7.32
445,1,"Entry",0,0,51629.9340001961,2,6.58
446,1,"Manager",1,1,106666.481785764,6,7.35
447,1,"Entry",1,1,46374.4232343255,1,4.55
448,0,"Entry",0,1,54395.4131720904,2,3.92
449,1,"Entry",0,1,44726.4794236134,1,3.32
450,0,"Manager",0,1,119930.060132535,9,3.54
451,0,"Entry",0,1,49377.6605455137,1,5.8
452,1,"Manager",0,1,113605.310787668,6,7.24
453,1,"Manager",0,1,119959.565200323,7,4.87
454,0,"Entry",0,0,50833.9443442407,2,4.57
455,0,"Entry",1,0,50882.9997321721,1,7.26
456,1,"Entry",1,1,50081.6297714144,2,3.91
457,1,"Manager",0,0,140965.481789857,13,6.46
458,1,"Manager",1,1,120775.546721023,6,5.5
459,0,"Entry",1,0,52930.6881117465,2,3.9
460,1,"Manager",0,1,114845.604930341,8,7.19
461,0,"Manager",1,1,104394.546968618,3,3.71
462,0,"Entry",0,0,52152.9951960435,2,5.24
463,0,"Entry",0,0,41696.11343409,1,5.24
464,1,"Manager",0,0,123018.483196359,8,6.68
465,1,"Manager",0,1,132301.378695919,11,3.87
466,0,"Entry",1,0,43570.0743222688,0,7.26
467,0,"Manager",0,0,120860.889028756,10,4.92
468,0,"Manager",0,0,126612.694607741,10,7.11
469,1,"Entry",1,1,52999.9606738262,3,3.5
470,1,"Entry",1,1,54017.313134983,3,6.13
471,1,"Manager",0,1,133027.913678677,9,7.24
472,1,"Manager",0,1,125342.701041271,11,6.33
473,1,"Manager",0,0,140737.864180953,14,6.14
474,0,"Manager",0,0,132873.589311145,9,5.86
475,1,"Entry",0,1,52678.5589906665,2,7.23
476,1,"Manager",0,1,118673.708935674,8,7.19
477,1,"Entry",0,1,50273.2905287573,1,3.69
478,0,"Entry",1,0,50594.632693359,1,6.59
479,1,"Entry",0,0,56389.3966025194,3,6.93
480,1,"Entry",0,1,54138.4735660425,2,3.47
481,0,"Entry",0,0,51253.7098644186,1,3.23
482,1,"Manager",1,0,124214.484270428,7,8.05
483,0,"Entry",0,0,56259.8385361353,3,5.24
484,0,"Entry",0,1,52225.4908653352,2,2.64
485,1,"Manager",0,1,127468.688198656,11,6.56
486,1,"Manager",1,1,106641.604048023,4,6.7
487,0,"Entry",1,0,44596.1577553076,1,6.59
488,0,"Entry",0,1,55928.9351481756,4,4.92
489,1,"Entry",1,1,46692.0980616189,1,2.26
490,1,"Entry",0,1,51750.5219679832,2,5.99
491,0,"Manager",0,0,116769.25584568,5,5.39
492,0,"Entry",0,1,52263.2353914703,2,3.97
493,0,"Manager",0,0,125206.779368775,8,5.49
494,1,"Manager",0,1,115719.55868886,6,6.02
495,1,"Manager",0,1,129729.533580374,9,4.62
496,1,"Entry",0,1,51715.0481000428,3,4.59
497,0,"Manager",1,1,126619.075340242,10,2.89
498,1,"Manager",0,1,109947.37358414,5,6.3
499,1,"Manager",1,1,113788.229405348,6,4.88
500,0,"Entry",1,0,50633.1458201742,1,6.59
501,1,"Manager",0,1,122179.151042812,10,7.98
502,0,"Manager",0,0,124527.682989055,8,5.67
503,1,"Manager",0,1,144075.887707102,11,6.48
504,1,"Manager",0,1,114151.168754137,8,6.21
505,1,"Manager",1,1,113475.140298053,7,4.62
506,1,"Manager",0,1,131593.001413909,11,7.73
507,1,"Entry",0,1,43007.1414349541,1,7.06
508,0,"Entry",0,1,52702.6616114746,2,5.2
509,1,"Entry",0,1,53014.8105823462,2,3.69
510,1,"Manager",0,1,97118.2589071336,5,3.69
511,1,"Entry",1,0,50268.4814445926,2,6.4
512,1,"Manager",1,0,102209.719468325,4,8.56
513,1,"Manager",0,1,144807.935558829,13,5.32
514,1,"Manager",0,1,135026.91749297,12,6.81
515,0,"Manager",1,1,111549.260463268,6,1.46
516,0,"Manager",1,1,114291.203421645,8,5.14
517,1,"Manager",1,1,108719.447577027,4,6.11
518,0,"Entry",0,0,48501.9606929037,1,5.92
519,0,"Entry",0,0,50683.963181232,2,6.59
520,1,"Manager",0,1,131595.73048292,12,3.73
521,0,"Entry",1,1,46186.2806376016,1,2.61
522,0,"Entry",0,1,45438.7954735044,2,4.9
523,1,"Entry",0,1,49336.074448939,1,4.16
524,1,"Manager",0,0,124584.272897163,7,7.35
525,1,"Manager",0,1,116204.361103418,7,7.69
526,1,"Entry",0,0,49757.0601008249,2,6.95
527,0,"Entry",0,1,53116.9230243789,3,4.13
