"","score","rank","ethnicity","gender","language","age","cls_level","bty_avg"
"286",4,"tenure track","not minority","female","english",34,"upper",1.667
"287",4.1,"tenure track","not minority","female","english",34,"upper",1.667
"288",3.5,"tenure track","not minority","male","english",34,"upper",6.667
"289",4.1,"tenure track","not minority","male","english",34,"upper",6.667
"290",3.6,"tenure track","not minority","male","english",34,"lower",6.667
"291",4,"tenure track","not minority","male","english",32,"lower",3.667
"292",3.9,"tenure track","not minority","male","english",32,"lower",3.667
"293",3.8,"tenure track","not minority","male","english",32,"lower",3.667
"294",4.4,"tenure track","not minority","male","english",32,"upper",3.833
"295",4.7,"tenure track","not minority","male","english",32,"upper",3.833
"296",3.8,"tenured","not minority","female","english",42,"lower",6.167
"297",4.1,"tenured","not minority","female","english",42,"upper",6.167
"298",4.1,"tenured","not minority","female","english",43,"lower",3.333
"299",4.7,"tenured","not minority","female","english",43,"upper",3.333
"300",4.3,"tenured","not minority","female","english",43,"lower",3.333
"301",4.4,"tenured","not minority","female","english",43,"lower",3.333
"302",4.5,"tenured","not minority","female","english",43,"lower",3.333
"303",3.1,"tenured","not minority","female","english",43,"lower",3.333
"304",3.7,"tenured","not minority","female","english",43,"lower",3.333
"305",4.5,"tenured","not minority","female","english",43,"upper",3.333
"306",3,"tenured","not minority","female","english",43,"lower",3.333
"307",4.6,"tenured","not minority","female","english",43,"upper",3.333
"308",3.7,"tenure track","not minority","male","non-english",35,"upper",3.667
"309",3.6,"tenure track","not minority","male","non-english",35,"lower",3.667
"310",3.2,"tenured","not minority","female","english",62,"upper",3.5
"311",3.3,"tenured","not minority","female","english",62,"upper",3.5
"312",2.9,"tenured","not minority","female","english",62,"upper",3.5
"313",4.2,"tenured","not minority","male","english",42,"upper",2.667
"314",4.5,"tenured","not minority","male","english",39,"upper",5.667
"315",3.8,"tenured","not minority","female","english",52,"upper",6
"316",3.7,"tenured","not minority","female","english",52,"upper",6
"317",3.7,"tenured","not minority","female","english",52,"upper",6.5
"318",4,"tenured","not minority","female","english",52,"upper",6.5
"319",3.7,"tenured","not minority","female","english",52,"upper",6.5
"320",4.5,"teaching","not minority","female","english",52,"upper",2.333
"321",3.8,"teaching","not minority","female","english",52,"upper",2.333
"322",3.9,"teaching","not minority","female","english",52,"upper",2.333
"323",4.6,"teaching","not minority","female","english",52,"upper",2.333
"324",4.5,"teaching","not minority","female","english",52,"upper",2.333
"325",4.2,"teaching","not minority","female","english",52,"upper",2.333
"326",4,"teaching","not minority","female","english",52,"upper",2.333
"327",3.8,"tenured","not minority","male","english",64,"upper",2.333
"328",3.5,"tenured","not minority","male","english",64,"upper",2.333
"329",2.7,"tenured","not minority","male","english",64,"upper",2.333
"330",4,"tenured","not minority","male","english",64,"upper",2.333
"331",4.6,"tenured","not minority","male","english",64,"upper",2.333
"332",3.9,"tenured","not minority","male","english",64,"upper",2.333
"333",4.5,"tenured","not minority","male","english",50,"upper",7.167
"334",3.7,"tenured","not minority","male","english",50,"upper",7.167
"335",2.4,"tenured","not minority","male","english",60,"upper",1.667
"336",3.1,"tenured","not minority","male","english",60,"upper",1.667
"337",2.5,"tenured","not minority","male","english",60,"upper",1.667
"338",3,"tenured","not minority","female","english",51,"upper",5.167
"339",4.5,"tenure track","not minority","male","english",43,"lower",3.5
"340",4.8,"tenure track","not minority","male","english",43,"lower",3.5
"341",4.9,"tenure track","not minority","male","english",43,"lower",3.5
"342",4.5,"tenure track","not minority","male","english",43,"lower",3.5
"343",4.6,"tenure track","not minority","male","english",43,"lower",3.5
"344",4.5,"tenure track","not minority","male","english",43,"lower",3.5
"345",4.9,"tenure track","not minority","male","english",43,"lower",3.5
"346",4.4,"tenure track","not minority","male","english",43,"lower",3.5
"347",4.6,"tenure track","not minority","male","english",43,"lower",3.5
"348",4.6,"teaching","minority","male","english",50,"lower",3.333
"349",5,"teaching","minority","male","english",50,"lower",3.333
"350",4.9,"teaching","minority","male","english",50,"lower",3.333
"351",4.6,"teaching","minority","male","english",50,"lower",3.333
"352",4.8,"teaching","minority","male","english",50,"lower",3.333
"353",4.9,"teaching","minority","male","english",50,"lower",3.333
"354",4.9,"teaching","minority","male","english",50,"lower",3.333
"355",4.9,"teaching","minority","male","english",50,"lower",3.333
"356",5,"teaching","minority","male","english",50,"lower",3.333
"357",4.5,"teaching","minority","male","english",50,"lower",3.333
"358",3.5,"tenured","not minority","male","english",52,"upper",5.833
"359",3.8,"tenured","not minority","male","english",52,"upper",5.833
"360",3.9,"tenured","not minority","male","english",52,"upper",5.833
"361",3.9,"tenured","not minority","male","english",52,"upper",5.833
"362",4.2,"tenured","not minority","male","english",52,"upper",5.833
"363",4.1,"tenured","not minority","male","english",52,"upper",5.833
"364",4.8,"tenured","not minority","male","english",51,"lower",6.167
"365",4.8,"tenured","not minority","male","english",51,"lower",6.167
"366",4.8,"tenured","not minority","male","english",51,"lower",6.167
"367",4.8,"tenured","not minority","male","english",51,"lower",6.167
"368",4.9,"tenured","not minority","male","english",51,"lower",6.167
"369",4.2,"tenured","not minority","male","english",38,"lower",3.333
"370",4.5,"tenured","not minority","male","english",38,"lower",3.333
"371",3.9,"tenured","not minority","male","english",38,"lower",3.333
"372",4.4,"tenured","not minority","male","english",38,"lower",3.333
"373",4,"tenured","not minority","female","english",47,"lower",5.167
"374",3.6,"tenured","not minority","female","english",47,"lower",5.167
"375",3.7,"tenured","minority","female","english",43,"lower",4.167
"376",2.7,"tenured","minority","female","english",43,"lower",4.167
"377",4.5,"teaching","not minority","female","english",38,"lower",2.5
"378",4.4,"teaching","not minority","female","english",38,"lower",2.5
"379",3.9,"teaching","not minority","female","english",38,"lower",2.5
"380",3.6,"teaching","not minority","female","english",38,"lower",2.5
"381",4.4,"teaching","not minority","female","english",38,"lower",2.5
"382",4.4,"teaching","not minority","female","english",38,"lower",2.5
"383",4.7,"tenured","not minority","male","english",43,"lower",4.333
"384",4.5,"tenured","not minority","male","english",43,"lower",4.333
"385",4.1,"tenured","not minority","male","english",43,"upper",4.333
"386",3.7,"tenured","not minority","male","english",43,"upper",4.333
"387",4.3,"tenured","not minority","male","english",57,"upper",3
"388",3.5,"tenured","not minority","male","english",57,"upper",3
"389",3.7,"tenured","not minority","male","english",57,"upper",3
"390",4,"tenured","not minority","female","english",51,"upper",6.333
"391",4,"tenured","not minority","female","english",51,"upper",6.333
"392",3.1,"tenured","not minority","female","english",51,"upper",6.333
"393",4.5,"tenured","not minority","female","english",51,"upper",6.333
"394",4.8,"teaching","not minority","male","english",45,"lower",3.333
"395",4.2,"teaching","not minority","male","english",45,"lower",3.333
"396",4.9,"teaching","not minority","male","english",45,"lower",3.333
"397",4.8,"teaching","not minority","male","english",45,"lower",3.333
"398",3.5,"tenured","not minority","male","english",57,"lower",2.833
"399",3.6,"tenured","not minority","male","english",57,"lower",2.833
"400",4.4,"tenured","not minority","male","english",57,"lower",2.833
"401",3.4,"tenured","not minority","male","english",57,"lower",2.833
"402",3.9,"tenured","not minority","male","english",57,"lower",2.833
"403",3.8,"tenured","not minority","male","english",57,"lower",2.833
"404",4.8,"tenured","not minority","male","english",57,"lower",2.833
"405",4.6,"tenured","not minority","male","english",57,"lower",2.833
"406",5,"tenured","not minority","male","english",57,"upper",2.833
"407",3.8,"tenured","not minority","male","english",57,"lower",2.833
"408",4.2,"tenured","not minority","male","english",57,"lower",2.833
"409",3.3,"teaching","not minority","female","english",47,"lower",6.667
"410",4.7,"teaching","not minority","female","english",47,"lower",6.667
"411",4.6,"teaching","not minority","female","english",47,"lower",6.667
"412",4.6,"teaching","not minority","female","english",47,"lower",6.667
"413",4,"teaching","not minority","female","english",47,"lower",6.667
"414",4.2,"tenured","minority","female","english",54,"lower",6.833
"415",4.9,"tenured","minority","female","english",54,"lower",6.833
"416",4.5,"tenured","minority","female","english",54,"lower",6.833
"417",4.8,"tenured","minority","female","english",54,"lower",6.833
"418",3.8,"tenured","minority","female","english",54,"lower",6.833
"419",4.8,"teaching","not minority","male","english",58,"lower",7.833
"420",5,"teaching","not minority","male","english",58,"lower",7.833
"421",5,"teaching","not minority","male","english",58,"lower",7.833
"422",4.9,"teaching","not minority","male","english",58,"lower",7.833
"423",4.6,"teaching","not minority","male","english",58,"lower",7.833
"424",5,"teaching","not minority","male","english",58,"lower",7.833
"425",4.8,"teaching","not minority","male","english",58,"lower",7.833
"426",4.9,"teaching","not minority","male","english",58,"lower",7.833
"427",4.9,"tenured","not minority","male","english",42,"lower",7.833
"428",3.9,"tenured","not minority","male","english",42,"lower",7.833
"429",3.9,"tenured","not minority","male","english",42,"upper",7.833
"430",4.5,"tenure track","not minority","male","english",33,"lower",5.833
"431",4.5,"tenure track","not minority","male","english",33,"lower",5.833
"432",3.3,"tenured","not minority","male","english",62,"lower",2
"433",3.1,"tenured","not minority","male","english",62,"lower",2
"434",2.8,"tenured","not minority","male","english",62,"lower",2
"435",3.1,"tenured","not minority","male","english",62,"lower",2
"436",4.2,"tenured","not minority","male","english",62,"upper",2
"437",3.4,"tenured","not minority","male","english",62,"lower",2
"438",3,"tenured","not minority","male","english",62,"lower",2
"439",3.3,"tenure track","minority","female","english",35,"lower",7.833
"440",3.6,"tenure track","minority","female","english",35,"lower",7.833
"441",3.7,"tenure track","minority","female","english",35,"lower",7.833
"442",3.6,"tenured","not minority","male","english",61,"lower",3.333
"443",4.3,"tenured","not minority","male","english",61,"lower",3.333
"444",4.1,"tenured","not minority","female","english",52,"lower",4.5
"445",4.9,"tenured","not minority","female","english",52,"lower",4.5
"446",4.8,"tenured","not minority","female","english",52,"lower",4.5
"447",3.7,"tenure track","not minority","female","non-english",60,"upper",4.333
"448",3.9,"tenure track","not minority","female","non-english",60,"upper",4.333
"449",4.5,"tenure track","not minority","female","non-english",60,"upper",4.333
"450",3.6,"tenure track","not minority","female","non-english",60,"upper",4.333
"451",4.4,"tenure track","not minority","female","non-english",60,"upper",4.333
"452",3.4,"tenure track","not minority","female","non-english",60,"upper",4.333
"453",4.4,"tenure track","not minority","female","non-english",60,"upper",4.333
"454",4.5,"tenure track","not minority","male","english",32,"lower",6.833
"455",4.5,"tenure track","not minority","male","english",32,"lower",6.833
"456",4.5,"tenure track","not minority","male","english",32,"upper",6.833
"457",4.6,"tenure track","not minority","male","english",32,"lower",6.833
"458",4.1,"tenure track","not minority","male","english",32,"lower",6.833
"459",4.5,"tenure track","not minority","male","english",32,"upper",6.833
"460",3.5,"tenure track","minority","female","non-english",42,"upper",5.333
"461",4.4,"tenure track","minority","female","non-english",42,"upper",5.333
"462",4.4,"tenure track","minority","female","non-english",42,"upper",5.333
"463",4.1,"tenure track","minority","female","non-english",42,"lower",5.333
