"locality_identifier","household_identifier","treatment_locality","promotion_locality","enrolled","enrolled_rp","poverty_index","round","health_expenditures","age_hh","age_sp","educ_hh","educ_sp","female_hh","indigenous","hhsize","dirtfloor","bathroom","land","hospital_distance","hospital"
26,29,1,1,1,1,53.941269,1,2.5299714,24,23,5,5,0,0,4,0,0,1,124.819966250118,0
26,29,1,1,1,1,53.941269,0,18.56694,23,22,5,5,0,0,4,0,0,1,124.819966250118,0
26,31,1,1,1,0,50.185474,0,11.490431,40,35,2,6,0,0,9,0,0,5,124.819966250118,0
26,31,1,1,1,0,50.185474,1,1.427871,41,36,2,6,0,0,9,0,0,5,124.819966250118,0
26,37,1,1,1,1,52.125195,1,11.093238,28,27,3,0,0,0,5,1,0,2,124.819966250118,0
26,37,1,1,1,1,52.125195,0,14.835473,27,26,3,0,0,0,5,1,0,2,124.819966250118,0
26,39,1,1,1,0,48.274342,1,6.4823618,51,46,2,0,0,0,5,1,0,5,124.819966250118,0
26,39,1,1,1,0,48.274342,0,18.082773,50,45,2,0,0,0,5,1,0,5,124.819966250118,0
26,41,1,1,1,0,53.348534,1,4.923543,47,39,0,0,0,0,7,1,0,2,124.819966250118,0
26,41,1,1,1,0,53.348534,0,11.994539,46,38,0,0,0,0,7,1,0,2,124.819966250118,0
26,43,1,1,1,1,54.43045,1,0.35405272,41,37,4,0,0,0,8,0,0,2,124.819966250118,0
26,43,1,1,1,1,54.43045,0,13.026296,40,36,4,0,0,0,8,0,0,2,124.819966250118,0
26,44,1,1,1,1,53.168468,0,16.043486,25,41,0,2,1,0,5,1,0,0,124.819966250118,0
26,44,1,1,1,1,53.168468,1,1.2099898,26,41,0,2,1,0,5,1,0,0,124.819966250118,0
26,50,1,1,1,1,49.381763,1,3.1110184,41,37,3,0,0,0,10,1,0,3,124.819966250118,0
26,50,1,1,1,1,49.381763,0,6.555758,40,37,3,0,0,0,10,1,0,3,124.819966250118,0
26,51,1,1,1,1,57.496136,0,20.199648,26,20,6,0,0,0,2,1,0,1,124.819966250118,0
26,51,1,1,1,1,57.496136,1,49.685146,27,21,6,0,0,0,2,1,0,1,124.819966250118,0
62,54,1,1,1,1,47.944359,0,8.7946825,42,38,1,0,0,0,9,1,0,3,135.473218142381,0
62,54,1,1,1,1,47.944359,1,1.2108614,43,39,1,0,0,0,9,1,0,3,135.473218142381,0
62,55,1,1,1,1,49.381763,0,13.469268,31,30,2,1,0,0,6,1,0,2,135.473218142381,0
62,55,1,1,1,1,49.381763,1,14.989297,32,31,2,1,0,0,6,1,0,2,135.473218142381,0
62,56,1,1,1,1,52.241112,1,2.1873696,32,39,3,2,1,0,6,0,0,2,135.473218142381,0
62,56,1,1,1,1,52.241112,0,18.527033,31,41,3,2,1,0,6,0,0,2,135.473218142381,0
62,59,1,1,1,1,53.554867,1,3.0096562,40,41,0,2,1,0,8,1,0,1,135.473218142381,0
62,59,1,1,1,1,53.554867,0,11.333814,39,41,0,2,1,0,8,1,0,1,135.473218142381,0
62,64,1,1,1,1,49.149921,0,12.280082,47,45,0,0,0,0,7,1,0,2,135.473218142381,0
62,64,1,1,1,1,49.149921,1,4.2185516,48,46,0,0,0,0,7,1,0,2,135.473218142381,0
62,68,1,1,1,0,55.023186,0,17.33312,32,21,2,4,0,0,4,1,0,4,135.473218142381,0
62,68,1,1,1,0,55.023186,1,2.8458884,33,22,2,4,0,0,4,1,0,4,135.473218142381,1
62,71,1,1,1,1,55.280525,0,16.660807,66,41,0,2,1,0,7,1,0,12,135.473218142381,0
62,71,1,1,1,1,55.280525,1,0.75062484,67,41,0,2,1,0,7,1,0,12,135.473218142381,0
134,75,0,0,0,0,48.570324,1,22.623768,19,20,0,0,0,1,3,1,0,2,142.136129504352,0
134,75,0,0,0,0,48.570324,0,13.673511,18,19,0,0,0,1,3,1,0,2,142.136129504352,0
134,76,0,0,0,0,39.335396,1,11.783475,28,27,0,0,0,1,6,1,0,2,142.136129504352,0
134,76,0,0,0,0,39.335396,0,9.1150942,27,26,0,0,0,1,6,1,0,2,142.136129504352,0
134,77,0,0,0,0,45.981453,1,19.749556,48,48,0,0,0,1,4,1,0,3,142.136129504352,0
134,77,0,0,0,0,45.981453,0,15.975288,47,47,0,0,0,1,4,1,0,3,142.136129504352,0
134,78,0,0,0,0,44.358578,0,14.021095,25,24,1,0,0,1,4,1,0,3,142.136129504352,0
134,78,0,0,0,0,44.358578,1,10.48104,26,25,1,0,0,1,4,1,0,3,142.136129504352,0
134,80,0,0,0,0,45.595055,0,18.676558,36,41,0,2,1,1,3,1,0,1,142.136129504352,0
134,80,0,0,0,0,45.595055,1,18.45314,37,41,0,2,1,1,3,1,0,1,142.136129504352,0
34,90,1,1,1,1,57.302937,0,15.441276,32,41,4,2,1,1,5,1,0,2,163.841865005557,0
34,90,1,1,1,1,57.302937,1,0,33,41,4,2,1,1,5,1,0,2,163.841865005557,0
34,97,1,1,1,1,55.56414,0,15.164259,50,49,3,1,0,1,5,1,0,3,163.841865005557,0
34,97,1,1,1,1,55.56414,1,3.7425177,51,50,3,1,0,1,5,1,0,3,163.841865005557,0
34,99,1,1,1,1,55.950542,1,0.51268977,73,73,0,0,0,1,6,1,0,1,163.841865005557,0
34,99,1,1,1,1,55.950542,0,11.874413,72,72,0,0,0,1,6,1,0,1,163.841865005557,1
34,100,1,1,1,0,57.702473,0,15.860399,67,49,2,0,0,1,5,1,1,2,163.841865005557,0
34,100,1,1,1,0,57.702473,1,0,68,50,2,0,0,1,5,1,1,2,163.841865005557,0
34,107,1,1,1,1,47.088875,0,8.1891708,28,26,3,2,0,1,7,1,0,0,163.841865005557,0
34,107,1,1,1,1,47.088875,1,1.5816329,29,27,3,2,0,1,7,1,0,0,163.841865005557,0
34,109,1,1,1,1,57.882534,0,12.168863,60,50,0,0,0,1,6,1,0,1,163.841865005557,0
34,109,1,1,1,1,57.882534,1,9.0886278,61,51,0,0,0,1,6,1,0,1,163.841865005557,0
34,125,1,1,1,1,56.414219,0,11.921996,41,39,4,0,0,1,6,1,0,1,163.841865005557,0
34,125,1,1,1,1,56.414219,1,0.058833312,42,40,4,0,0,1,6,1,0,1,163.841865005557,0
34,130,1,1,1,1,49.459042,1,1.128546,38,31,0,0,0,1,6,1,0,2,163.841865005557,0
34,130,1,1,1,1,49.459042,0,10.351816,37,30,0,0,0,1,6,1,0,2,163.841865005557,0
34,131,1,1,1,1,51.700153,1,0.51058787,41,41,0,6,0,1,5,1,0,1,163.841865005557,0
34,131,1,1,1,1,51.700153,0,12.975542,40,40,0,6,0,1,5,1,0,1,163.841865005557,0
34,133,1,1,1,1,55.486862,0,13.575088,27,22,3,5,0,1,4,1,0,0,163.841865005557,0
34,133,1,1,1,1,55.486862,1,0.075984195,28,23,3,5,0,1,4,1,0,0,163.841865005557,0
34,136,1,1,1,1,57.959816,0,8.8120356,70,50,0,0,0,1,8,1,0,4,163.841865005557,0
34,136,1,1,1,1,57.959816,1,0,71,51,0,0,0,1,8,1,0,4,163.841865005557,0
34,138,1,1,1,1,49.84544,1,0,34,32,0,4,0,1,7,1,0,1,163.841865005557,0
34,138,1,1,1,1,49.84544,0,7.8600769,33,31,0,4,0,1,7,1,0,1,163.841865005557,0
34,140,1,1,1,1,56.646057,1,4.1008921,57,51,0,0,0,1,6,1,1,2,163.841865005557,0
34,140,1,1,1,1,56.646057,0,12.53371,56,50,0,0,0,1,6,1,1,2,163.841865005557,0
34,141,1,1,1,1,54.443584,0,8.835578,31,29,2,0,0,1,7,1,1,1,163.841865005557,0
34,141,1,1,1,1,54.443584,1,0,32,30,2,0,0,1,7,1,1,1,163.841865005557,0
34,144,1,1,1,1,55.409584,0,10.110742,27,28,1,0,0,1,6,1,0,1,163.841865005557,0
34,144,1,1,1,1,55.409584,1,2.492965,28,30,1,0,0,1,6,1,0,1,163.841865005557,0
34,147,1,1,1,1,52.395672,1,0,34,33,6,6,0,1,8,1,0,0,163.841865005557,0
34,147,1,1,1,1,52.395672,0,6.6665735,33,32,6,6,0,1,8,1,0,0,163.841865005557,0
34,150,1,1,1,1,50.734158,1,0.26597041,33,28,4,0,0,1,7,1,0,1,163.841865005557,0
34,150,1,1,1,1,50.734158,0,8.4645529,32,27,4,0,0,1,7,1,0,1,163.841865005557,0
34,153,1,1,1,1,57.805256,1,3.7528927,36,33,0,0,0,1,5,1,0,1,163.841865005557,0
34,153,1,1,1,1,57.805256,0,12.182022,35,32,0,0,0,1,5,1,0,1,163.841865005557,0
34,155,1,1,1,1,56.105099,1,11.990394,76,41,0,2,0,1,1,1,0,0,163.841865005557,0
34,155,1,1,1,1,56.105099,0,25.116493,75,41,0,2,0,1,1,1,0,0,163.841865005557,0
34,158,1,1,1,1,56.259659,0,13.152553,35,20,0,6,0,1,4,1,0,0,163.841865005557,0
34,158,1,1,1,1,56.259659,1,1.2967913,36,21,0,6,0,1,4,1,0,0,163.841865005557,0
34,162,1,1,1,1,54.559505,0,10.552389,23,25,0,6,0,1,5,1,0,1,163.841865005557,0
34,162,1,1,1,1,54.559505,1,0,24,26,0,6,0,1,5,1,0,1,163.841865005557,0
34,163,1,1,1,1,56.259659,1,1.5776474,27,31,0,0,0,1,4,1,0,1,163.841865005557,0
34,163,1,1,1,1,56.259659,0,13.268102,26,30,0,0,0,1,4,1,0,1,163.841865005557,0
34,168,1,1,1,1,55.229519,1,0.80133075,40,40,0,0,0,1,8,0,0,1,163.841865005557,0
34,168,1,1,1,1,55.229519,0,9.2822008,39,39,0,0,0,1,8,0,0,1,163.841865005557,0
34,169,1,1,1,1,54.404945,0,17.297693,37,38,0,0,0,1,4,0,0,1,163.841865005557,1
34,169,1,1,1,1,54.404945,1,0,38,39,0,0,0,1,4,0,0,1,163.841865005557,0
34,173,1,1,1,0,54.095825,1,0,35,32,5,5,0,1,5,0,1,1,163.841865005557,1
34,173,1,1,1,0,54.095825,0,15.863364,33,31,5,5,0,1,5,0,1,1,163.841865005557,0
34,182,1,1,1,1,54.520866,0,9.0855427,46,36,0,0,0,1,7,1,0,1,163.841865005557,0
34,182,1,1,1,1,54.520866,1,0,47,37,0,0,0,1,7,1,0,1,163.841865005557,0
34,184,1,1,1,1,57.841576,1,0,60,58,0,0,0,1,6,1,0,0,163.841865005557,0
34,184,1,1,1,1,57.841576,0,11.941473,59,57,0,0,0,1,6,1,0,0,163.841865005557,0
34,185,1,1,1,1,53.490726,1,2.8848708,63,62,0,0,0,1,8,1,1,2,163.841865005557,0
34,185,1,1,1,1,53.490726,0,8.5422869,62,61,0,0,0,1,8,1,1,2,163.841865005557,0
34,192,1,1,1,1,52.550232,0,7.3562002,26,31,0,0,0,1,7,1,0,2,163.841865005557,0
34,192,1,1,1,1,52.550232,1,0.36411303,27,32,0,0,0,1,7,1,0,2,163.841865005557,0
34,195,1,1,1,0,54.404945,0,13.773928,31,41,3,2,0,1,5,1,0,2,163.841865005557,0
34,195,1,1,1,0,54.404945,1,7.0661917,32,42,3,2,0,1,5,1,0,2,163.841865005557,0
34,198,1,1,1,1,55.525501,1,0,78,68,0,0,0,1,9,1,0,4,163.841865005557,1
34,198,1,1,1,1,55.525501,0,6.4997792,77,67,0,0,0,1,9,1,0,4,163.841865005557,0
34,199,1,1,1,1,50.772797,0,6.8001566,42,33,0,0,0,1,8,1,0,2,163.841865005557,0
34,199,1,1,1,1,50.772797,1,0,43,34,0,0,0,1,8,1,0,2,163.841865005557,0
34,201,1,1,1,1,50.540958,0,10.971596,65,35,0,3,1,1,6,1,0,1,163.841865005557,0
34,201,1,1,1,1,50.540958,1,0.5608322,66,36,0,3,1,1,6,1,0,1,163.841865005557,0
34,203,1,1,1,1,54.327667,0,13.345711,30,28,9,9,0,1,6,0,1,1,163.841865005557,0
34,203,1,1,1,1,54.327667,1,1.9512122,31,29,9,9,0,1,6,0,1,1,163.841865005557,0
34,209,1,1,1,1,49.922722,0,14.052595,55,52,0,0,0,1,5,1,0,1,163.841865005557,0
34,209,1,1,1,1,49.922722,1,6.5887756,56,53,0,0,0,1,5,1,0,1,163.841865005557,0
34,213,1,1,1,1,56.259659,0,11.680902,49,48,0,0,0,1,6,1,0,1,163.841865005557,0
34,213,1,1,1,1,56.259659,1,0,50,49,0,0,0,1,6,1,0,1,163.841865005557,0
34,214,1,1,1,1,51.545593,0,12.999875,46,36,6,2,0,1,7,0,1,1,163.841865005557,0
34,214,1,1,1,1,51.545593,1,0,47,37,6,2,0,1,7,0,1,1,163.841865005557,0
34,219,1,1,1,1,55.270481,0,9.6365938,77,72,0,0,0,1,7,1,0,0,163.841865005557,0
34,219,1,1,1,1,55.270481,1,4.0191154,78,73,0,0,0,1,7,1,0,0,163.841865005557,0
34,221,1,1,1,1,54.791344,1,0.10262413,43,33,0,0,0,1,8,1,0,1,163.841865005557,0
34,221,1,1,1,1,54.791344,0,6.5591054,42,32,0,0,0,1,8,1,0,1,163.841865005557,0
34,225,1,1,1,1,53.632149,0,15.11902,41,41,0,0,0,1,4,1,0,1,163.841865005557,0
34,225,1,1,1,1,53.632149,1,8.3057489,42,42,0,0,0,1,4,1,0,1,163.841865005557,0
34,226,1,1,1,1,52.395672,1,5.3335533,26,24,5,5,0,1,5,0,0,1,163.841865005557,0
34,226,1,1,1,1,52.395672,0,14.179685,25,23,5,5,0,1,5,0,0,1,163.841865005557,0
34,228,1,1,1,0,54.945904,0,13.873028,25,22,5,4,0,1,4,1,1,1,163.841865005557,0
34,228,1,1,1,0,54.945904,1,3.1911919,26,23,5,4,0,1,4,1,1,1,163.841865005557,0
34,229,1,1,1,1,51.159195,1,3.286484,31,25,5,3,0,1,6,0,1,1,163.841865005557,0
34,229,1,1,1,1,51.159195,0,13.031561,30,24,5,3,0,1,6,0,1,1,163.841865005557,0
34,230,1,1,1,1,52.704792,1,8.4605646,42,37,0,0,0,1,7,1,0,2,163.841865005557,0
34,230,1,1,1,1,52.704792,0,8.9394636,41,36,0,0,0,1,7,1,0,2,163.841865005557,0
34,235,1,1,1,1,54.868626,0,12.657201,25,25,6,6,0,1,6,0,0,3,163.841865005557,0
34,235,1,1,1,1,54.868626,1,1.6847174,27,26,6,6,0,1,6,0,0,3,163.841865005557,0
46,241,1,1,1,1,52.550232,0,12.540275,23,20,0,6,0,1,4,1,0,3,132.001494403127,0
46,241,1,1,1,1,52.550232,1,2.9873068,24,20,0,6,0,1,4,1,0,3,132.001494403127,0
46,243,1,1,1,1,54.250385,1,15.156875,23,26,6,6,1,0,4,1,0,0,132.001494403127,0
46,243,1,1,1,1,54.250385,0,15.030313,22,25,6,6,1,0,4,1,0,0,132.001494403127,0
46,246,1,1,1,1,57.882534,0,18.652061,25,19,6,6,0,0,3,1,1,3,132.001494403127,0
46,246,1,1,1,1,57.882534,1,0,27,21,6,6,0,0,3,1,1,3,132.001494403127,0
46,249,1,1,1,1,46.367851,0,9.7098131,32,29,6,6,0,0,8,1,1,2,132.001494403127,0
46,249,1,1,1,1,46.367851,1,0,33,30,6,6,0,0,8,1,1,2,132.001494403127,0
46,252,1,1,1,1,56.336941,1,0,33,32,2,0,0,0,5,1,0,1,132.001494403127,0
46,252,1,1,1,1,56.336941,0,15.537894,32,32,2,0,0,0,5,1,0,1,132.001494403127,0
46,260,1,1,1,1,54.482227,1,7.9560461,41,31,3,3,0,0,6,1,0,3,132.001494403127,0
46,260,1,1,1,1,54.482227,0,14.398895,40,30,3,3,0,0,6,1,0,3,132.001494403127,0
46,263,1,1,1,1,55.332302,0,17.322586,20,20,5,5,0,0,3,1,0,0,132.001494403127,0
46,263,1,1,1,1,55.332302,1,11.520032,21,21,5,5,0,0,3,1,0,0,132.001494403127,0
46,265,1,1,1,1,53.709427,1,3.9896872,51,42,2,0,0,0,5,1,0,2,132.001494403127,0
46,265,1,1,1,1,53.709427,0,17.453362,50,42,2,0,0,0,5,1,0,2,132.001494403127,0
46,266,1,1,1,1,42.102009,1,0,42,32,0,0,0,0,8,1,0,1,132.001494403127,0
46,266,1,1,1,1,42.102009,0,9.1340446,42,31,0,0,0,0,8,1,0,1,132.001494403127,0
46,268,1,1,1,1,39.799072,1,0.78402632,34,32,5,1,0,0,8,1,0,1,132.001494403127,0
46,268,1,1,1,1,39.799072,0,9.4246988,33,31,5,1,0,0,8,1,0,1,132.001494403127,1
46,270,1,1,1,1,51.236477,0,12.674319,27,27,2,0,0,0,6,1,0,1,132.001494403127,0
46,270,1,1,1,1,51.236477,1,0,28,28,2,0,0,0,6,1,0,1,132.001494403127,0
46,271,1,1,1,1,56.105099,0,16.846832,28,24,6,6,0,0,4,1,0,2,132.001494403127,0
46,271,1,1,1,1,56.105099,1,2.2110188,29,25,6,6,0,0,4,1,0,2,132.001494403127,0
50,276,1,1,1,1,52.704792,0,17.406263,42,32,0,0,0,0,4,1,0,1,132.772322188135,0
50,276,1,1,1,1,52.704792,1,16.790764,43,33,0,0,0,0,4,1,0,1,132.772322188135,1
50,278,1,1,1,1,53.786709,1,4.92134,52,41,0,2,1,0,5,1,0,1,132.772322188135,0
50,278,1,1,1,1,53.786709,0,18.244242,51,41,0,2,1,0,5,1,0,1,132.772322188135,0
80,280,1,1,1,1,48.119781,0,10.559992,42,40,2,0,0,0,8,1,0,1,130.47840098353,0
80,280,1,1,1,1,48.119781,1,0.98478621,43,41,2,0,0,0,8,1,0,1,130.47840098353,0
80,281,1,1,1,1,48.428902,0,17.826719,60,57,2,0,0,0,5,1,0,1,130.47840098353,0
80,281,1,1,1,1,48.428902,1,1.7904236,61,58,2,0,0,0,5,1,0,1,130.47840098353,0
80,283,1,1,1,0,44.113602,0,7.3516369,52,52,0,0,0,0,11,1,0,18,130.47840098353,0
80,283,1,1,1,0,44.113602,1,3.4534075,53,53,0,0,0,0,11,1,0,18,130.47840098353,0
80,287,1,1,1,0,49.304482,0,22.203419,86,41,0,2,1,1,2,1,0,1,130.47840098353,0
80,287,1,1,1,0,49.304482,1,4.1510572,87,41,0,2,1,1,2,1,0,1,130.47840098353,0
80,290,1,1,1,1,42.349304,1,4.2979078,38,36,0,0,0,0,5,1,0,18,130.47840098353,0
80,290,1,1,1,1,42.349304,0,18.260635,37,35,0,0,0,0,5,1,0,18,130.47840098353,0
44,294,1,1,1,1,52.704792,1,4.3761768,37,35,6,3,0,0,10,1,1,2,147.658729749109,0
44,294,1,1,1,1,52.704792,0,6.2521539,36,34,6,3,0,0,10,1,1,2,147.658729749109,0
61,297,1,1,1,1,55.428902,0,11.477838,43,39,0,0,0,0,7,1,0,0,107.677866683872,0
61,297,1,1,1,1,55.428902,1,9.9182386,44,40,0,0,0,0,7,1,0,0,107.677866683872,0
61,299,1,1,1,1,50.115921,1,0,41,39,0,0,0,1,7,1,0,1,107.677866683872,1
61,299,1,1,1,1,50.115921,0,8.7741833,40,38,0,0,0,1,7,1,0,1,107.677866683872,0
61,301,1,1,1,1,54.173107,0,13.394833,33,25,0,0,0,1,4,1,0,0,107.677866683872,0
61,301,1,1,1,1,54.173107,1,7.5815992,34,26,0,0,0,1,4,1,0,0,107.677866683872,0
61,304,1,1,1,1,53.477589,0,14.30337,46,41,0,0,0,1,6,0,0,3,107.677866683872,1
61,304,1,1,1,1,53.477589,1,14.390954,47,42,0,0,0,1,6,0,0,3,107.677866683872,0
61,306,1,1,1,1,52.833847,0,9.6724463,56,41,0,2,1,1,8,1,0,1,107.677866683872,0
61,306,1,1,1,1,52.833847,1,0,56,41,0,2,1,1,8,1,0,1,107.677866683872,0
61,307,1,1,1,1,52.370171,1,2.8533528,59,56,0,0,0,1,8,1,0,2,107.677866683872,0
61,307,1,1,1,1,52.370171,0,8.1785803,58,56,0,0,0,1,8,1,0,2,107.677866683872,0
61,313,1,1,1,1,56.002316,1,6.3913298,38,35,0,0,0,1,5,1,1,3,107.677866683872,0
61,313,1,1,1,1,56.002316,0,13.146232,37,34,0,0,0,1,5,1,1,3,107.677866683872,0
61,315,1,1,1,1,42.581142,0,10.835626,31,37,5,0,0,1,6,1,0,0,107.677866683872,1
61,315,1,1,1,1,42.581142,1,6.2256098,33,38,5,0,0,1,6,1,0,0,107.677866683872,0
98,317,1,1,1,1,48.068005,0,10.026314,31,24,6,6,0,1,6,1,0,0,112.767007082944,0
98,317,1,1,1,1,48.068005,1,2.4871304,32,24,6,6,0,1,6,1,0,0,112.767007082944,0
98,318,1,1,1,1,52.395672,1,0,28,26,6,6,0,1,5,0,0,0,112.767007082944,0
98,318,1,1,1,1,52.395672,0,14.286384,27,24,6,6,0,1,5,0,0,0,112.767007082944,0
98,319,1,1,1,1,50.077278,1,3.975013,41,27,0,0,0,0,6,1,0,0,112.767007082944,0
98,319,1,1,1,1,50.077278,0,12.642999,40,27,0,0,0,0,6,1,0,0,112.767007082944,0
98,321,1,1,1,1,53.454407,0,12.776928,32,33,6,0,0,1,5,1,0,0,112.767007082944,0
98,321,1,1,1,1,53.454407,1,1.1384642,33,34,6,0,0,1,5,1,0,0,112.767007082944,0
98,328,1,1,1,1,54.636784,1,12.172917,28,25,6,4,0,0,4,1,0,0,112.767007082944,0
98,328,1,1,1,1,54.636784,0,16.380438,27,24,6,4,0,0,4,1,0,0,112.767007082944,0
98,332,1,1,1,1,53.323029,1,9.4450216,29,25,6,6,0,1,4,1,0,0,112.767007082944,0
98,332,1,1,1,1,53.323029,0,13.844815,28,24,6,6,0,1,4,1,0,0,112.767007082944,0
98,337,1,1,1,1,57.071098,1,4.0614796,73,73,0,0,0,1,5,0,0,1,112.767007082944,1
98,337,1,1,1,1,57.071098,0,16.521759,72,72,0,0,0,1,5,0,0,1,112.767007082944,0
98,342,1,1,1,1,57.071098,0,17.666861,25,18,6,0,0,0,3,1,0,0,112.767007082944,1
98,342,1,1,1,1,57.071098,1,14.547454,26,19,6,0,0,0,3,1,0,0,112.767007082944,0
98,345,1,1,1,1,55.100464,1,11.147105,26,22,6,4,0,0,3,1,0,0,112.767007082944,0
98,345,1,1,1,1,55.100464,0,17.968044,25,21,6,4,0,0,3,1,0,0,112.767007082944,0
98,346,1,1,1,1,52.009274,1,12.136851,28,28,0,4,0,0,4,1,0,0,112.767007082944,0
98,346,1,1,1,1,52.009274,0,15.631836,27,27,0,4,0,0,4,1,0,0,112.767007082944,0
98,352,1,1,1,1,52.009274,1,5.1534472,22,20,3,6,0,1,5,1,0,0,112.767007082944,0
98,352,1,1,1,1,52.009274,0,10.714199,22,19,3,6,0,1,5,1,0,0,112.767007082944,0
98,353,1,1,1,1,51.545593,0,15.874661,45,44,0,0.5,0,0,5,1,0,0,112.767007082944,1
98,353,1,1,1,1,51.545593,1,6.6262789,46,45,0,0.5,0,0,5,1,0,0,112.767007082944,0
98,356,1,1,1,1,52.666153,0,14.683812,29,26,6,6,0,0,5,1,0,0,112.767007082944,0
98,356,1,1,1,1,52.666153,1,1.0621102,30,27,6,6,0,0,5,1,0,0,112.767007082944,0
98,357,1,1,1,1,57.187016,1,0.13750763,56,53,1,0,0,0,6,1,0,0,112.767007082944,0
98,357,1,1,1,1,57.187016,0,15.434032,55,52,1,0,0,0,6,1,0,0,112.767007082944,0
98,358,1,1,1,1,51.350075,0,13.030233,39,34,0,1,0,0,6,1,0,0,112.767007082944,0
98,358,1,1,1,1,51.350075,1,3.2025425,39,34,0,1,0,0,6,1,0,0,112.767007082944,0
98,361,1,1,1,1,56.993816,0,15.22597,24,21,6,6,0,1,3,1,0,0,112.767007082944,0
98,361,1,1,1,1,56.993816,1,7.7027845,24,22,6,6,0,1,3,1,0,0,112.767007082944,0
98,371,1,1,1,1,51.391037,1,0.6565792,27,28,6,0,0,1,6,1,1,0,112.767007082944,0
98,371,1,1,1,1,51.391037,0,9.9702425,25,27,6,0,0,1,6,1,1,0,112.767007082944,0
98,379,1,1,1,1,57.534775,1,7.4980574,29,25,6,3,0,0,5,1,0,0,112.767007082944,0
98,379,1,1,1,1,57.534775,0,14.32756,27,24,6,3,0,0,5,1,0,0,112.767007082944,0
98,381,1,1,1,1,57.4034,1,6.139432,44,40,3,4,0,0,8,0,0,0,112.767007082944,0
98,381,1,1,1,1,57.4034,0,13.018085,43,39,3,4,0,0,8,0,0,0,112.767007082944,0
98,382,1,1,1,1,57.057961,1,22.666334,78,41,0,2,1,1,7,0,0,1,112.767007082944,0
98,382,1,1,1,1,57.057961,0,14.671204,77,41,0,2,1,1,7,0,0,1,112.767007082944,0
98,383,1,1,1,1,44.487633,0,7.1437726,44,42,0,0,0,1,8,1,0,1,112.767007082944,0
98,383,1,1,1,1,44.487633,1,2.2198651,45,43,0,0,0,1,8,1,0,1,112.767007082944,0
98,384,1,1,1,1,42.194744,1,0,48,42,0,0,0,1,7,1,0,1,112.767007082944,0
98,384,1,1,1,1,42.194744,0,9.3490963,47,41,0,0,0,1,7,1,0,1,112.767007082944,0
98,388,1,1,1,1,54.752705,0,13.162391,38,31,3,0,0,1,5,1,0,0,112.767007082944,0
98,388,1,1,1,1,54.752705,1,0.66007346,39,32,3,0,0,1,5,1,0,0,112.767007082944,0
98,389,1,1,1,1,55.409584,1,4.1297159,34,28,2,6,0,1,6,1,1,0,112.767007082944,0
98,389,1,1,1,1,55.409584,0,10.761599,33,27,2,6,0,1,6,1,1,0,112.767007082944,0
98,390,1,1,1,1,55.795982,0,13.683628,52,59,0,0,0,1,5,1,0,0,112.767007082944,0
98,390,1,1,1,1,55.795982,1,12.122361,53,60,0,0,0,1,5,1,0,0,112.767007082944,0
98,392,1,1,1,1,51.159195,0,13.53625,34,33,2,0,0,0,6,1,0,0,112.767007082944,0
