cust_id,deny,pirat,hirat,lvrat,chist,mhist,phist,unemp,selfemp,insurance,condomin,race,single,hschool
208,1,0.392799988,0.303799992,0.8,6,2,no,3.900000095,no,no,yes,African-American,yes,yes
209,1,0.28,0.28,0.826086957,5,2,no,3.599999905,no,no,no,Hispanic,no,yes
210,1,0.31,0.26,0.896825397,1,2,no,3.599999905,no,no,no,Hispanic,no,yes
211,1,0.384099998,0.209099998,0.8,1,2,no,3.599999905,yes,no,yes,Hispanic,yes,yes
212,1,0.334000015,0.286000004,0.889655172,1,2,no,3.900000095,no,no,no,African-American,yes,yes
213,1,0.29,0.26,0.892473118,1,2,no,3.900000095,no,no,yes,African-American,yes,yes
214,1,0.330900002,0.300499992,0.745762712,1,2,no,1.799999952,no,no,yes,Hispanic,yes,yes
215,1,0.336899986,0.321399994,0.933333333,1,2,no,2,no,no,no,African-American,yes,yes
216,1,0.342299995,0.313999996,0.861244019,1,2,no,10.60000038,no,no,no,Hispanic,no,no
217,0,0.302700005,0.257700005,0.954545455,5,2,no,3.900000095,no,no,no,African-American,yes,yes
218,1,0.319099998,0.265200005,0.79245283,1,2,no,3.099999905,no,no,yes,Hispanic,no,yes
219,1,0.246299992,0.211000004,0.688073394,1,2,no,4.300000191,no,no,yes,Hispanic,no,yes
220,1,0.286000004,0.252700005,0.753488372,2,2,no,10.60000038,yes,no,no,Hispanic,no,yes
221,1,0.27,0.27,0.79787234,6,2,no,3.200000048,no,no,no,Hispanic,yes,yes
222,1,0.282000008,0.251200008,0.9,2,2,no,4.300000191,yes,no,no,Hispanic,yes,yes
223,1,0.324399986,0.291800003,0.564796905,1,1,no,1.799999952,yes,no,yes,Hispanic,yes,yes
224,1,0.347999992,0.188899994,0.737967914,2,2,no,3.900000095,yes,no,no,Hispanic,no,yes
225,1,0.296000004,0.296000004,0.479233227,4,2,no,1.799999952,no,no,yes,Hispanic,yes,yes
226,1,0.319799995,0.262700005,0.532258065,5,1,no,3.200000048,no,no,no,Hispanic,no,no
227,1,0.400099983,0.278799992,0.407843137,1,2,no,3.200000048,yes,no,no,Hispanic,yes,yes
228,1,0.276299992,0.254400005,0.748502994,2,2,no,2,no,no,no,Hispanic,no,yes
229,1,0.352400017,0.289899998,0.748091603,2,2,no,3.900000095,no,no,no,Hispanic,yes,yes
230,1,0.123800001,0.121800003,0.693069307,1,2,no,1.799999952,no,no,no,Hispanic,no,yes
231,1,0.34,0.27,1.908333333,1,2,no,3.099999905,no,no,yes,Hispanic,yes,yes
232,1,0.211599998,0.181800003,0.516129032,1,2,no,10.60000038,yes,no,no,Hispanic,no,yes
233,1,0.282600002,0.275200005,0.471177945,1,1,no,1.799999952,no,no,no,White,no,yes
234,1,0.288999996,0.284599991,0.740740741,1,1,no,3.200000048,no,no,no,White,no,yes
235,1,0.3,0.25,0.771276596,5,1,no,10.60000038,no,no,no,White,no,yes
236,1,0.36,0.28,0.735930736,3,2,no,3.099999905,no,no,no,White,no,yes
237,1,0.32,0.27,0.564102564,1,1,no,3.900000095,no,no,no,White,no,yes
238,0,0.32,0.32,0.6875,1,1,no,3.200000048,no,no,no,White,no,yes
239,1,0.26,0.2,0.735714286,5,1,no,3.200000048,no,no,no,White,no,yes
240,1,0.26,0.21,0.70754717,2,1,no,3.599999905,no,no,no,White,no,yes
241,0,0.32,0.26,0.794444444,2,1,no,1.799999952,yes,no,yes,White,yes,yes
242,1,0.42,0.33,0.8,3,3,yes,3.200000048,no,no,no,African-American,yes,yes
243,1,0.34,0.33,0.643410853,5,2,no,1.799999952,no,no,yes,White,yes,yes
244,1,0.37,0.34,0.87755102,1,2,no,3.099999905,no,no,no,White,no,yes
245,1,0.29,0.28,0.592592593,1,2,no,2,no,no,no,White,yes,yes
246,1,0.35,0.31,0.72,1,2,no,1.799999952,no,no,no,White,yes,yes
247,1,0.4,0.27,0.8,1,2,no,4.300000191,no,no,yes,White,yes,yes
248,1,0.36,0.3,0.926315789,1,2,no,3.200000048,no,no,yes,White,yes,yes
249,1,0.38,0.27,0.704545455,1,1,no,3.900000095,no,no,no,White,no,yes
250,1,0.37,0.26,0.577777778,1,1,no,2,no,no,no,White,no,yes
251,1,0.41,0.23,0.705660377,1,1,no,1.799999952,no,no,no,White,yes,yes
252,1,0.32,0.31,0.277777778,1,2,no,3.200000048,no,no,yes,White,yes,yes
253,1,0.33,0.26,0.946236559,1,2,no,4.300000191,no,no,no,White,no,yes
254,1,0.33,0.26,0.817647059,1,2,no,10.60000038,no,no,no,White,no,yes
255,1,0.29,0.21,0.3125,1,2,no,3.200000048,no,no,no,White,yes,yes
256,1,0.37,0.11,0.340909091,6,1,no,3.200000048,yes,no,no,White,yes,yes
257,1,0.36,0.2,0.898809524,6,2,yes,5.300000191,no,no,no,White,yes,yes
258,1,0.37,0.3,0.764705882,1,2,no,3.599999905,no,no,no,White,no,yes
259,1,0.3,0.3,0.529411765,1,1,no,5.300000191,no,no,no,White,yes,yes
260,1,0.34,0.34,0.811764706,1,2,no,3.599999905,no,no,no,White,no,yes
261,1,0.42,0.26,0.75,2,2,no,3.200000048,yes,no,no,White,no,yes
262,1,0.2,0.08,0.111111111,1,1,no,3.200000048,no,no,yes,White,no,yes
263,1,0.3,0.29,0.533333333,2,1,no,3.099999905,no,no,no,White,no,yes
264,1,0.38,0.27,0.934375,2,1,no,3.200000048,no,no,no,White,no,yes
265,1,0.34,0.31,0.921212121,6,2,no,5.300000191,no,no,no,White,yes,yes
266,1,0.29,0.26,0.667857143,1,1,no,4.300000191,yes,no,no,White,no,yes
267,1,0.32,0.29,0.916666667,1,2,no,3.099999905,no,no,no,White,no,yes
268,1,0.36,0.3,0.94375,2,2,no,3.200000048,no,no,no,White,no,yes
269,1,0.41,0.3,0.652173913,1,1,no,3.200000048,no,no,no,White,no,yes
270,1,0.32,0.28,0.474452555,1,2,no,1.799999952,no,no,yes,White,yes,yes
271,1,0.38,0.31,0.824,1,2,no,10.60000038,no,no,no,African-American,no,yes
272,1,0.2,0.04,0.485074627,3,1,no,3.599999905,no,no,yes,White,yes,yes
273,1,0.28,0.22,0.923076923,4,2,no,3.099999905,no,no,no,White,yes,yes
274,1,0.25,0.25,0.555555556,4,2,no,3.099999905,no,no,no,White,no,yes
275,1,0.29,0.28,0.575384615,1,2,no,3.200000048,no,no,no,White,no,yes
276,0,0.49,0.37,0.915584416,2,1,no,3.200000048,no,no,no,White,yes,yes
277,1,0.33,0.24,0.889473684,1,2,no,3.099999905,no,no,no,White,no,yes
278,1,0.45,0.21,0.801587302,2,1,no,3.099999905,no,no,no,White,no,yes
279,0,0.41,0.35,0.922580645,1,2,no,4.300000191,no,yes,no,White,yes,yes
280,1,0.35,0.28,0.838709677,1,2,no,3.099999905,no,no,no,White,no,yes
281,1,0.35,0.3,0.350877193,2,3,no,3.900000095,no,no,no,White,no,yes
282,1,0.08,0.07,0.732984293,1,2,no,3.900000095,yes,no,no,White,no,yes
283,1,0.25,0.25,0.503703704,1,2,no,4.300000191,no,no,no,White,yes,yes
284,1,0.48,0.15,0.726666667,1,2,no,4.300000191,no,no,no,Hispanic,no,yes
285,1,0.36,0.01,1.465116279,1,2,no,1.799999952,yes,no,yes,Hispanic,no,yes
286,1,0.32,0.31,0.84057971,1,2,no,10.60000038,no,no,no,White,no,yes
287,1,0.27,0.2,0.843881857,1,2,no,10.60000038,no,no,no,Hispanic,no,yes
288,1,0.34,0.27,0.793103448,1,1,no,3.200000048,no,no,no,White,no,yes
289,1,0.33,0.3,0.784671533,6,2,yes,3.200000048,no,no,no,White,yes,yes
290,1,0.28,0.33,0.628571429,1,2,yes,3.200000048,no,no,no,White,no,yes
291,1,0.34,0.26,0.898876404,2,1,no,3.200000048,no,no,no,White,no,yes
292,1,0.37,0.36,0.756164384,1,2,no,3.200000048,no,no,no,White,yes,yes
293,1,0.3,0.26,0.734567901,4,2,no,3.200000048,no,no,no,White,yes,yes
294,1,0.36,0.33,0.68877551,1,2,no,1.799999952,no,no,no,White,no,yes
295,1,0.355099983,0.199799995,0.501432665,3,4,no,3.599999905,yes,no,no,White,no,yes
296,1,0.25,0.19,0.731428571,2,2,no,3.200000048,yes,no,no,White,yes,yes
297,1,0.14,0.13,0.34965035,4,1,no,1.799999952,no,no,no,White,no,yes
298,1,0.44,0.2,0.416666667,1,1,no,10.60000038,yes,no,yes,White,no,yes
299,1,0.45,0.3,1.148148148,1,2,no,3.200000048,no,no,no,White,no,yes
300,1,0.37,0.26,0.802469136,1,2,no,10.60000038,yes,no,no,White,no,yes
301,1,0.34,0.3,0.797402597,1,1,no,4.300000191,no,no,no,White,no,yes
302,1,0.270400009,0.1675,0.786982249,3,3,no,3.099999905,no,no,yes,White,no,yes
303,1,0.23,0.23,0.635359116,2,2,no,5.300000191,no,no,no,White,no,yes
304,1,0.34,0.29,0.946564885,1,2,no,3.200000048,no,no,no,White,yes,yes
305,1,0.33,0.26,0.727891156,2,2,no,5.300000191,no,no,no,White,yes,yes
306,1,0.375,0.269699993,0.785714286,1,2,no,3.200000048,no,no,no,White,yes,yes
